Keller Hall,2,Keller Hall,4,kh2-kh4
Keller Hall,4,Keller Hall,2,kh4-kh2
Keller Hall,2,Amundson Hall,2,kh2-ahB
Amundson Hall,2,Keller Hall,2,ahB-kh2
Keller Hall,4,Mechanical Engineering,2,kh4-me2
Mechanical Engineering,2,Keller Hall,4,me2-kh4
Mechanical Engineering,2,Mechanical Engineering,B,me2-meB
Mechanical Engineering,B,Mechanical Engineering,2,meB-me2
Mechanical Engineering,2,Rapson Hall,2,me2-rh2
Rapson Hall,2,Mechanical Engineering,2,rh2-me2
Mechanical Engineering,2,Lind Hall,2,me2-lh2
Lind Hall,2,Mechanical Engineering,2,lh2-me2
Mechanical Engineering,2,Akerman Hall,2,me2-2
Akerman Hall,2,Mechanical Engineering,2,2-me2
Mechanical Engineering,B,Tate Hall,SB,meB-thSB
Tate Hall,SB,Mechanical Engineering,B,thSB-meB
Tate Hall,SB,Tate Hall,B,thSB-thB
Tate Hall,B,Tate Hall,SB,thB-thSB
Tate Hall,SB,Morrill Hall,B,thSB-mrllB
Morrill Hall,B,Tate Hall,SB,mrllB-thSB
Tate Hall,B,Murphy Hall,B,thB-mrphB
Murphy Hall,B,Tate Hall,B,mrphB-thB
Rapson Hall,2,Rapson Hall,B,rh2-rhB
Rapson Hall,B,Rapson Hall,2,rhB-rh2
Rapson Hall,B,Civil Engineering,2,rhB-ce2
Civil Engineering,2,Rapson Hall,B,ce2-rhB
Rapson Hall,B,Shepherd Labs,B,rhB-slB
Shepherd Labs,B,Rapson Hall,B,slB-rhB
Shepherd Labs,B,Shepherd Labs,2,slB-sl2
Shepherd Labs,2,Shepherd Labs,B,sl2-slB
Akerman Hall,2,Shepherd Labs,2,2-sl2
Shepherd Labs,2,Akerman Hall,2,sl2-2
Murphy Hall,B,Murphy Hall,2,mrphB-mrph2
Murphy Hall,2,Murphy Hall,B,mrph2-mrphB
Murphy Hall,B,Ford Hall,B,mrphB-fordB
Ford Hall,B,Murphy Hall,B,fordB-mrphB
Murphy Hall,2,Vincent Hall,2,mrph2-vh2
Vincent Hall,2,Murphy Hall,2,vh2-mrph2
Morrill Hall,B,Morrill Hall,G,mrllB-mrllG
Morrill Hall,G,Morrill Hall,B,mrllG-mrllB
Morrill Hall,G,Northrop Garage,T,mrllG-norgra
