A,B,type
asvm1,vetmedctrn3,tunnel
vetmedctrn3,vetmedctrs3,tunnel
vetmedctrs3,vetDiagnostic3,tunnel
vetmedctrs3,vetScience3,tunnel
greenG,skokG,tunnel
skokG,skokB,sameBuilding
skokB,kaufert1,tunnel
kaufert1,hodson2,tunnel
hodson2,alderman2,tunnel
soil2,borlaug2,tunnel
borlaug2,stakman2,tunnel
stakman2,christ2,tunnel
christ2,hayes2,tunnel
borlaug2,hayes2,tunnel
borlaug2,ecology1,tunnel
ecology1,mcnealL,tunnel
ecology1,ecologyB,sameBuilding
ecologyB,gortnerB,tunnel
gortnerB,snyderB,tunnel
snyderB,biologSci1,tunnel
