name,navid,apple-place-id,google-place-id
Bailey Hall,bailey2,,
Bailey Dining Hall,baileyDining2,,
St. Paul Student Center,stPaStuCe2,,
Coffey Hall,coffeyB,,
Ruttan Hall,ruttanG,,
Magrath Library,magrathG,,
Learning & Environmental Sciences,envSci3,,
Animal Science & Veterenary Medicine,asvm1,,
Veterinary Medical Center North,vetmedctrn3,,
Veterinary Medical Center South,vetmedctrs3,,
Veterinary Diagnostic Lab,vetDiagnostic3,,
Veterinary Science,vetScience3,,
Green Hall,greenG,,
Skok Hall,skokG,,
Kaufert Lab,kaufert1,,
Hodson Hall,hodson2,,
Alderman Hall,alderman2,,
Soil Science,soil2,,
Borlaug Hall,borlaug2,,
Stakman Hall,stakman2,,
Christensen Lab,christ2,,
Hayes Hall,hayes2,,
Ecology Building,ecology1,,
McNeal Hall,mcnealL,,
Gortner Lab,gortnerB,,
Snyder Hall,snyderB,,
Biological Sciences Center,biologSci1,,
