name,navid,apple-place-id,google-place-id
Keller Hall,kh4,I4AAD42D51D676512,ChIJZewVBgAts1IRz-ClXi88w3k
Mechanical Engineering,me2,I7731A385D5E34420,ChIJiYX2qhcts1IRNVU0wshc08w
Tate Hall,thSB,IC65A869BBB9FBFDE,ChIJH5HQYRYts1IRb1mKBqiZv7Q
Amundson Hall,ahB,I352AA97CA2938D16,ChIJS9PkaRYts1IRuCmEZaDWPFo
Rapson Hall,rh2,I75A66CD7C838950B,ChIJK6Xg4RYts1IR7uLoIXq6qZ8
Lind Hall,lh2,ICF2EE6572059F740,ChIJS9PkaRYts1IRy8vkILGSCow
Civil Engineering,ce2,I755AD13D3179EA0D,ChIJgzQgbxcts1IR30dgam3iJFo
Shepherd Labs,sl2,I2338D64245D147ED,ChIJKWOVDxcts1IR2QcIr57yzyM
Akerman Hall,2,I7FB78D6032CDEB7E,ChIJ_8cK92kts1IRuuMGRESa4ew
Murphy Hall,mrphB,I4E19EAFFC53BAF7C,ChIJS9PkaRYts1IRjR6E4zKUrl4
Vincent Hall,vh2,ID78FC8E8F3FA7999,ChIJAWh8bhYts1IRxuNqcwmUT6c
Ford Hall,fordB,ID825D3FB447B9A94,ChIJS9PkaRYts1IRemsXgUWXyVg
Morrill Hall,mrllG,I9EEFCF225E20731F,ChIJK1KnkhYts1IRLtnAgOrsylY
Northrop Garage,norgra,IECE395636EBB79DC,ChIJh9kUnBYts1IRO1m9uhfaaus
Northrop,norB,I962A7F58EF9C0FE9,ChIJSY1V3RYts1IRANpL0_Se-rI
Johnston Hall,johnB,I2C72F17ED71A131A,ChIJn6aPThQts1IRK-2ml-RncuU
Walter Library,waltB,I45D7C93CC1BF136,ChIJSwWpShQts1IRyhiwzKwLH9U
Smith Hall,smthB,I95DF8F3700FDC079,ChIJFzr5xBUts1IRMxqbRNW9cVs
Kolthoff Hall,klth1,I6DB50F976DBF7026,ChIJFzr5xBUts1IROtd0IbylPB0
Church Street Garage,chstgr,IECE395636EBB79DC,ChIJO6U06hYts1IRQcLIiN1IGe8
Pillsbury Hall,pillB,ID6184423669385EC,ChIJN3cLxxYts1IRw1911zR8rNY
Williamson Hall,will2,IA11FFE326233D781,ChIJN3cLxxYts1IR6llhh2rKC0c
Nolte Center,noltB,I9984182F7D66396,ChIJUdvn0RYts1IRRPOdLZU8Mgs
Jones Hall,jonesT,IA04F941EC526A1EE,ChIJdUvpUREts1IRslxiApfScLs
Nolte Center Garage,nolGra,ID8FA874376124BE7,ChIJUdvn0RYts1IRg_tTphtWCeE
10 Church St,10chust,IFAFB826B454E2448,ChIJmQDgKxEts1IRYJ0Ie8uT8vc
Folwell Hall,folwel,I4A735A157424D6F8,ChIJN3cLxxYts1IR_MY7aQRDhDw
Coffman Memorial Union,coffmanG,IB67A8AA6D47D6D3D,ChIJi2l8AD4ts1IR6hQ3FDu_3Qk
East River Road Garage,eastRivRdA,I6CB88BAA828F59C2,ChIJ37dbDT4ts1IRRFmxaDD893w
Hasselmo Hall,hass1,IC0519DFDCD423F39,ChIJLaCQ9T0ts1IRMpNO73QS4aY
Boynton Health Service,boynton2,I1A6AEDFEE042BFF6,ChIJZRvckj0ts1IRm6YWYp9qZr4
Jackson Hall,jackson4,I77923C0F46D303A2,ChIJTRcxJhYts1IRWb1UZVNNsDU
Mayo Building & Additions,mayo1,IEDA0D519160BC2D5,ChIJBXPSmD0ts1IR410hm3S18WE
Masonic Cancer Research Building,masCan3,I46EE752E66F718E1,ChIJjYrhGz0ts1IRQA2dSTLtyFQ
Variety Club Research Center,variety4,IC96D1E90B4DD229D,ChIJdd5Ltz0ts1IRvhAO7Y0oNsU
Children's Rehabilitation Center,child1,I66338628F9DEB74B,ChIJXeRGwT0ts1IRNmWSBS-IGJw
Molecular & Cellualar Biology,molecule3,I4E90B7C0991787B0,ChIJOzKV1Rcts1IRufnDYXE4szQ
Moos Tower,moos2,ID6C962F8D0EDF9A5,ChIJ14jjXz0ts1IRtQncutstaSk
Philips-Wangensteen Building,pwb2,IDBB2A8D24E5E9BD8,ChIJd27OaT0ts1IR7p68Fv1qg2I
Diehl Hall,diehl2,I1FA81AA795FFB1D7,ChIJr1EvPj0ts1IRuE6mUqMkQsg
Fairview Medical Center,fairview1,I7D1191A9F3C9977B,ChIJO8cyHz0ts1IRpfzTrH4SF9o
Health Sciences Education Center,hsec2,I517837300F788F1F,ChIJffjdNwgts1IRidPdBPMRX0s
Weaver-Densford Hall,weaver2,I40DE06468BB624ED,ChIJ3f1T-xcts1IROvT2tVAL41Y
Washington Avenue Ramp,washRamp3,IE27FE75364E4B721,ChIJ-fTK8hcts1IREfHd9nP2MfA
"Parking, Transportation, & Safety Building",pts2,IB27382195201DBF0,ChIJMaoubkwts1IRLgRLo3LurB8
Graduate Hotel,graddy2,I9D2E206B63271DA9,ChIJD_8nFBgts1IRtBxNbjgLAyI
McNamara Alumni Center,mcnamaraB,IA641F4E52ADDCD93,ChIJMWBR7Rgts1IRrbbqTFlPmF8
University Avenue Ramp,universityRampB,I905B8291ED9A1257,ChIJG-MUsBkts1IRrkhAFc6Q0zo
Hospital Patient & Visitor Ramp,hospitalRamp,I72F3715184DB8E0D,ChIJS8zNvCIts1IRgpe5EOuKdEY
