name,navid,apple-place-id,google-place-id
Bailey Hall,bailey2,IB61A4427DA58D26D,ChIJ4S9VnYQss1IRvk4JMX4Xrsk
Bailey Dining Hall,baileyDining2,IB61A4427DA58D26D,ChIJ4S9VnYQss1IRvk4JMX4Xrsk
St. Paul Student Center,stPaStuCe2,IB0186490680502C6,ChIJ41mAaYMss1IRzpTkh8nGuJc
Coffey Hall,coffeyB,IC90E892B8F24C989,ChIJ_-psTIMss1IR3gQMf7qh0ik
Ruttan Hall,ruttanG,IFBDC1261533793A3,ChIJ_-psTIMss1IR9L7HqfoKTKQ
Magrath Library,magrathG,I6A0515A2E601DA47,ChIJLywy0oIss1IRkLtzTBa1qvs
Learning & Environmental Sciences,envSci3,I6CCD41C65E5D8607,ChIJB1RctoIss1IRfGRih35oKDo
Animal Science & Veterenary Medicine,asvm1,IEE6099F843B362D9,ChIJIaX545wss1IR0sqqIh7sbzo
Veterinary Medical Center North,vetmedctrn3,IAC5734795E0B319A,ChIJsxdZa50ss1IRN3oUDDobWA0
Veterinary Medical Center South,vetmedctrs3,I5388F9642CCC447D,ChIJIz5U_pwss1IRkzIzSUmAUNI
Veterinary Diagnostic Lab,vetDiagnostic3,I499C7243B73A3F47,ChIJDR2fc50ss1IRp6G_UgPMylA
Veterinary Science,vetScience3,IBD20BF15E9A45409,ChIJrSqBU5wss1IRjte1yokW3XY
Green Hall,greenG,IAB60451C12905635,ChIJLaqBwIMss1IR4uQi0rw4Z0I
Skok Hall,skokG,I86794FEF9ACA11E9,ChIJ2_N9woMss1IRXTTP-cDwaVs
Kaufert Lab,kaufert1,I49E4554B4AC49A75,ChIJDR2fc50ss1IRAJJeQIkgpGw
Hodson Hall,hodson2,IFF031C39AA44E6D8,ChIJr8iXLYIss1IRmeJxn0EWx5E
Alderman Hall,alderman2,IC3B24BE08EEDB46C,ChIJ2_N9woMss1IRowco7HnVjjE
Soil Science,soil2,I3FFA046B73041B0D,ChIJVzFhSIIss1IRc4YGhLPAcEY
Borlaug Hall,borlaug2,IDA94EF45A34BA09C,ChIJE4lbQoIss1IRLQuuor2tUpg
Stakman Hall,stakman2,IA867AB0FB015CAC6,ChIJE4lbQoIss1IRvsHXqlxg2GE
Christensen Lab,christ2,I25A7C14974D4AAC1,ChIJTVF9ZYIss1IRcgcXqLTiGYc
Hayes Hall,hayes2,IE744F7CA00926500,ChIJE4lbQoIss1IRDcgKUZGr-Sg
Ecology Building,ecology1,IC6E60BC812DD77DA,ChIJhf7j9oIss1IRopTaWGTGNeE
McNeal Hall,mcnealL,I7453726CD5FE4020,ChIJqQeq7IIss1IRgIzIpO0CI4o
Gortner Lab,gortnerB,IA21B6F13EB6E40DC,ChIJWyVdi4Iss1IR6-ciWzJ1LXw
Snyder Hall,snyderB,IF6CF47B095CFF9E1,ChIJAZLF7IIss1IR_iBTQDfMtxk
Biological Sciences Center,biologSci1,I9A5D3E24329091F0,ChIJMxB-wIIss1IRaAWIo23GuZI
