name,navid,apple-place-id,google-place-id
Mondale Hall,mondSP,ICC766041F83EAB9B,ChIJJ-lJDmots1IRti8V_ZHcUYs
Willey Hall,willG,I5B24FE2726F4CDEF,ChIJlyorcWots1IRHisinnoSCzM
Andersen Library,ander1,IF9723F049C76B3FD,ChIJo4P-fGots1IRovppyTiv6v4
West Bank Skyway,skyway1,I51654FCE3DC946C1,ChIJafEk10Ets1IRcv37ThKTdME
Blegen Hall,bleg1,IDE6866DDBC65264D,ChIJeab5xUEts1IROUNSVljuYxg
Social Sciences,socG,IF3157640A364D642,ChIJ6cWXtUEts1IR9V2R2zgLLFc
Wilson Library,wilsonB,I918333A9B9FC7D94,ChIJS_44o0Ets1IRrVGaAtTsTPA
Anderson Hall,andor1,I58F513C67B4EF3BB,ChIJ64cdMUAts1IRc0uuxsgpxt8
Ferguson Hall,fergB,IDA0DD3AC282FF5,ChIJA9GQW0Ats1IR6BLuKW89CyA
Rarig Center,rarigB,I885B10493D747449,ChIJPahe_kAts1IRChyndjnUskI
Heller Hall,hellerG,ID82D311E666CBC69,ChIJkRdSwEEts1IRPFeqEPt6Dv0
Humphrey School of Public Affairs,humpG,I413096C91CAF294B,ChIJU5VpjUEts1IRi0cvH27Z8dg
Carlson School of Management,carlson2,IC4B252CE04BC4A7E,ChIJt0vxgUEts1IRiEMIFmDQ7Yk
Hanson Hall,hanson2,I97F044483E180309,ChIJ39pQZEEts1IRa8Zn3HVaSNo
19th Ave Ramp,19ave3,I1F7B99705F2C0A08,ChIJP-SlzkMts1IRa3UF9QRsPuo
